[2024-07-26 11:29:10,200] [INFO] [real_accelerator.py:191:get_accelerator] Setting ds_accelerator to cuda (auto detect)
Random Sparsity Layout: 13150 / 262144 = 0.05016326904296875
Random Sparsity Layout: 13170 / 262144 = 0.05023956298828125
Random Sparsity Layout: 13177 / 262144 = 0.050266265869140625
Random Sparsity Layout: 13157 / 262144 = 0.050189971923828125
Random Sparsity Layout: 13153 / 262144 = 0.050174713134765625
Random Sparsity Layout: 13104 / 262144 = 0.04998779296875
Random Sparsity Layout: 13181 / 262144 = 0.050281524658203125
Random Sparsity Layout: 13106 / 262144 = 0.04999542236328125
Random Sparsity Layout: 13143 / 262144 = 0.050136566162109375
Random Sparsity Layout: 13341 / 262144 = 0.050891876220703125
Random Sparsity Layout: 13243 / 262144 = 0.050518035888671875
Random Sparsity Layout: 13090 / 262144 = 0.04993438720703125
Random Sparsity Layout: 13136 / 262144 = 0.05010986328125
Random Sparsity Layout: 12981 / 262144 = 0.049518585205078125
Random Sparsity Layout: 13242 / 262144 = 0.05051422119140625
Random Sparsity Layout: 13210 / 262144 = 0.05039215087890625
Random Sparsity Layout: 13182 / 262144 = 0.05028533935546875
Random Sparsity Layout: 13251 / 262144 = 0.050548553466796875
Random Sparsity Layout: 13179 / 262144 = 0.050273895263671875
Random Sparsity Layout: 13051 / 262144 = 0.049785614013671875
Random Sparsity Layout: 13185 / 262144 = 0.050296783447265625
Random Sparsity Layout: 13260 / 262144 = 0.0505828857421875
Random Sparsity Layout: 13082 / 262144 = 0.04990386962890625
Random Sparsity Layout: 13312 / 262144 = 0.05078125
{'loss': 6.2512, 'learning_rate': 4.9884619822314526e-05, 'epoch': 0.01}
{'loss': 5.9552, 'learning_rate': 4.9769239644629055e-05, 'epoch': 0.02}
{'loss': 5.8781, 'learning_rate': 4.965385946694358e-05, 'epoch': 0.03}
{'loss': 5.8636, 'learning_rate': 4.95384792892581e-05, 'epoch': 0.05}
{'loss': 5.8154, 'learning_rate': 4.942309911157263e-05, 'epoch': 0.06}
{'loss': 5.7333, 'learning_rate': 4.930771893388716e-05, 'epoch': 0.07}
{'loss': 5.7234, 'learning_rate': 4.919233875620169e-05, 'epoch': 0.08}
{'loss': 5.715, 'learning_rate': 4.9076958578516215e-05, 'epoch': 0.09}
{'loss': 5.7517, 'learning_rate': 4.896157840083074e-05, 'epoch': 0.1}
{'loss': 5.68, 'learning_rate': 4.884619822314527e-05, 'epoch': 0.12}
{'loss': 5.6857, 'learning_rate': 4.873081804545979e-05, 'epoch': 0.13}
{'loss': 5.6597, 'learning_rate': 4.8615437867774314e-05, 'epoch': 0.14}
{'loss': 5.6736, 'learning_rate': 4.8500057690088844e-05, 'epoch': 0.15}
{'loss': 5.6994, 'learning_rate': 4.838467751240337e-05, 'epoch': 0.16}
{'loss': 5.7121, 'learning_rate': 4.82692973347179e-05, 'epoch': 0.17}
{'loss': 5.706, 'learning_rate': 4.815391715703243e-05, 'epoch': 0.18}
{'loss': 5.7117, 'learning_rate': 4.803853697934695e-05, 'epoch': 0.2}
{'loss': 5.6552, 'learning_rate': 4.792315680166148e-05, 'epoch': 0.21}
{'loss': 5.6567, 'learning_rate': 4.7807776623976e-05, 'epoch': 0.22}
{'loss': 5.6985, 'learning_rate': 4.7692396446290527e-05, 'epoch': 0.23}
{'loss': 5.663, 'learning_rate': 4.7577016268605056e-05, 'epoch': 0.24}
{'loss': 5.6661, 'learning_rate': 4.746163609091958e-05, 'epoch': 0.25}
{'loss': 5.6349, 'learning_rate': 4.734625591323411e-05, 'epoch': 0.27}
{'loss': 5.6008, 'learning_rate': 4.723087573554863e-05, 'epoch': 0.28}
{'loss': 5.6448, 'learning_rate': 4.711549555786316e-05, 'epoch': 0.29}
{'loss': 5.5251, 'learning_rate': 4.700011538017769e-05, 'epoch': 0.3}
{'loss': 5.6342, 'learning_rate': 4.6884735202492216e-05, 'epoch': 0.31}
{'loss': 5.6008, 'learning_rate': 4.676935502480674e-05, 'epoch': 0.32}
{'loss': 5.5927, 'learning_rate': 4.665397484712127e-05, 'epoch': 0.33}
{'loss': 5.5991, 'learning_rate': 4.653859466943579e-05, 'epoch': 0.35}
{'loss': 5.6389, 'learning_rate': 4.642321449175032e-05, 'epoch': 0.36}
{'loss': 5.6467, 'learning_rate': 4.6307834314064845e-05, 'epoch': 0.37}
{'loss': 5.6397, 'learning_rate': 4.619245413637937e-05, 'epoch': 0.38}
{'loss': 5.6171, 'learning_rate': 4.60770739586939e-05, 'epoch': 0.39}
{'loss': 5.6166, 'learning_rate': 4.596169378100843e-05, 'epoch': 0.4}
{'loss': 5.6254, 'learning_rate': 4.584631360332295e-05, 'epoch': 0.42}
{'loss': 5.5944, 'learning_rate': 4.573093342563748e-05, 'epoch': 0.43}
{'loss': 5.5763, 'learning_rate': 4.5615553247952004e-05, 'epoch': 0.44}
{'loss': 5.5487, 'learning_rate': 4.5500173070266534e-05, 'epoch': 0.45}
{'loss': 5.568, 'learning_rate': 4.538479289258106e-05, 'epoch': 0.46}
{'loss': 5.5418, 'learning_rate': 4.526941271489558e-05, 'epoch': 0.47}
{'loss': 5.5808, 'learning_rate': 4.515403253721011e-05, 'epoch': 0.48}
{'loss': 5.5594, 'learning_rate': 4.5038652359524634e-05, 'epoch': 0.5}
{'loss': 5.5739, 'learning_rate': 4.492327218183916e-05, 'epoch': 0.51}
{'loss': 5.6477, 'learning_rate': 4.480789200415369e-05, 'epoch': 0.52}
{'loss': 5.57, 'learning_rate': 4.469251182646822e-05, 'epoch': 0.53}
{'loss': 5.5922, 'learning_rate': 4.457713164878275e-05, 'epoch': 0.54}
